Idmaster,Species1,Accepted_name_TNRS2022,Leaf_area,LMA,Leaf_N,Seed_mass,Stem_density,Height,LDMC,Leaf_th
1,Adenocarpus foliolosus,Adenocarpus foliolosus,13.802,76.07593102,45.0694325,4.2,0.5392945,4,426.4214047,0.0825
2,Adenocarpus viscosus,Adenocarpus viscosus,19.11354839,115.1015999,41.19977,5.9,0.497416667,1,427.6883323,0.201666667
3,Aeonium arboreum,Aeonium arboreum,1814.585333,109.1158384,11.98772667,0.013,0.362497333,2,64.39979709,1.4665
5,Aeonium ciliatum,Aeonium ciliatum,1679.8485,166.8801284,10.2946975,0.1,0.419582333,1,72.0055466,3.355
9,Aeonium lindleyi,Aeonium lindleyi,425.5755,81.06669674,8.63918,0.702853286,0.4681485,0.5,28.28889907,6.4435
13,Aeonium spathulatum,Aeonium spathulatum,197.007,63.4495221,13.53073667,0.064,0.407611667,0.6,76.39115173,0.920333333
15,Aeonium urbicum,Aeonium urbicum,4066.661,271.7626738,9.614633333,0.058,0.371798,0.9,80.71205357,3.511
23,Aizoon canariense,Aizoon canariense,280.9858621,63.4670129,34.44972,11.96,0.262729333,0.01,105.4766372,0.722333333
24,Allagopappus canariensis,Allagopappus canariensis,186.18225,48.33973163,11.69626,0.6464,0.639240333,1.2,273.5521488,0.32
27,Andryala pinnatifida,Andryala pinnatifida,796.2245,19.46687147,22.977655,0.127,0.292027667,1,113.7551174,0.1355
29,Apollonias barbujana,Persea barbujana,3026.983077,142.8784334,11.96153,504.94,0.725459,25,449.1306444,0.235
30,Arbutus canariensis,Arbutus canariensis,6267.486875,149.8208163,14.63882,3.31,0.594729,10,419.5563561,0.2655
31,Argyranthemum adauctum,Argyranthemum adauctum,1464.560667,31.18113691,31.96253,5.336,0.413522,1.2,124.205006,0.289333333
34,Argyranthemum foeniculaceum,Argyranthemum foeniculaceum,228.548,86.05048684,15.56611667,2.39,0.44058,1,159.5528106,0.876666667
36,Argyranthemum gracile,Argyranthemum gracile,180.237,50.55010902,19.64173,3.494,0.508309,1.2,231.3835436,0.567666667
39,Argyranthemum tenerifae,Argyranthemum tenerifae,298.9966667,89.55841202,20.95407,2.99,0.478274667,0.5,183.942656,0.498
44,Artemisia reptans,Artemisia reptans,65.715,33.98513784,31.68480333,2.271799376,0.66792,0.3,237.713554,0.329666667
45,Artemisia thuscula,Artemisia thuscula,794.9621053,73.79806695,19.85243333,0.07,0.563794,1,309.3197499,0.159
49,Asparagus pastorianus,Asparagus pastorianus,39.60925,65.64123279,15.592075,21.02571429,0.457523667,1,223.8530887,0.526
52,Asparagus umbellatus,Asparagus umbellatus,17.23566667,116.0384474,18.46627,26.76857143,0.618475333,5,306.3879453,0.508
54,Astydamia latifolia,Astydamia latifolia,31640.367,90.42246571,14.70160667,3.864,0.063726667,0.4,66.72959454,0.9105
65,Bosea yervamora,Bosea yervamora,2769.466333,79.43768709,24.96875667,16.634,0.494523,3,261.2310296,0.225666667
72,Bystropogon canariensis,Bystropogon canariensis,2113.145,86.52190613,13.00852,0.131,0.437885,2,406.6480672,0.388
74,Bystropogon origanifolius,Bystropogon origanifolius,228.3363333,96.34909906,20.42272,0.215,0.518051333,1.7,283.6447467,0.244666667
77,Campylanthus salsoloides,Campylanthus salsoloides,115.979,208.0836473,10.58204,0.106,0.642814667,2,202.1473426,1.751666667
78,Canarina canariensis,Canarina canariensis,3105.111667,25.54926903,32.70938333,4.29,0.072435333,3,139.2861333,0.168333333
84,Carlina salicifolia,Carlina salicifolia,1347.169474,111.3445657,13.15908333,0.62,0.543154333,2,342.1845059,0.2715
85,Carlina xeranthemoides,Carlina xeranthemoides,388.524,77.64428109,18.10897333,1.7,0.440099,0.6,280.27099,0.202666667
87,Cedronella canariensis,Cedronella canariensis,6204.527333,22.29554741,39.06620333,1.416,0.180014,2,152.9195599,0.133
89,Ceropegia dichotoma,Ceropegia dichotoma,1415.126,4.769893282,7.991096667,4.442857143,0.291628627,1.5,108.6538462,4.134333333
90,Ceropegia fusca,Ceropegia fusca,767.89,7.813619138,13.49097667,6.688571429,0.1311086,1,214.2857143,8.357666667
91,Chamaecytisus proliferus,Chamaecytisus prolifer,231.97625,91.06535691,27.63143667,20.80571429,0.6199275,5,435.4539432,0.235
93,Cheirolophus canariensis,Cheirolophus canariensis,903.366,84.129799,18.68463,4.83,0.60308,1.5,300.8709081,0.215
96,Cheirolophus teydis,Cheirolophus teydis,524.48875,108.04172,22.88705667,5.338,0.507361,1.5,226.3253935,0.324
104,Cistus symphytifolius,Cistus symphytifolius,1618.376,127.6999288,12.719555,0.371,0.734288667,2,459.674155,0.1555
106,Convolvulus floridus,Convolvulus floridus,2158.463333,87.09900099,16.29000667,4.988,0.802549333,4,310.7109439,0.218666667
109,Convolvulus scoparius,Convolvulus scoparius,312.688,15.45736751,15.38453333,4.81,0.708344333,2,361.3230324,0.47
115,Crithmum maritimum,Crithmum maritimum,2386.811,118.5682486,13.636725,0.928571429,0.353739,0.45,122.9194796,1.222
117,Cynara cardunculus,Cynara cardunculus,74702.73333,157.9594142,15.61579,3.56,0.392673968,1,185.4276884,0.333
122,Descurainia bourgeauana,Descurainia bourgaeana,58.26933333,63.1321221,37.19164667,0.1515,0.573541333,1,310.1953602,0.211333333
124,Descurainia lemsii,Descurainia lemsii,144.811,61.68960461,31.73378,0.1245,0.707006667,0.8,291.9031644,0.169666667
131,Dracunculus canariensis,Dracunculus canariensis,4818.693834,107.7747037,28.76251,40.59,0.062886,1.5,105.2133741,0.096
135,Echium aculeatum,Echium aculeatum,140.829,211.8408377,14.920895,3.094,0.497686333,2,190.7341874,0.628
141,Echium strictum,Echium strictum,4072.6288,54.59209377,24.67725,1.982,0.464902,1,226.6595588,0.277333333
144,Echium virescens,Echium virescens,1555.077667,144.2371689,15.8213375,2.392,0.5023326,2,262.3559901,0.365666667
149,Erica arborea,Erica arborea,6.357428571,120.593831,12.58352667,0.019142857,0.6193,12,496.9834087,0.237333333
150,Erica platycodon,Erica platycodon,13.65733333,183.0518403,12.71953333,85.3810719,0.7148,6,509.9727433,0.299666667
155,Erysimum scoparium,Erysimum scoparium,214.919,88.40539924,34.35327,1.014,0.606833333,1,224.4839031,0.292666667
156,Euphorbia aphylla,Euphorbia aphylla,348.2555,161.3025234,7.068315,2.092,0.207738333,0.8,188.888003,6.566
157,Euphorbia atropurpurea,Euphorbia atropurpurea,930.286,69.15436042,15.90739333,4.888,0.338875333,2,201.4612728,0.252333333
158,Euphorbia balsamifera,Euphorbia balsamifera,222.6333333,104.8061087,16.16107667,5.856,0.238769333,2,244.275265,0.418
163,Ferula linkii,Ferula communis subsp. linkii,4901.804,37.84321038,21.45614,31.435,0.108821,3,196.7126193,0.144
165,Forsskaolea angustifolia,Forsskaolea angustifolia,338.173,56.84171514,25.06195667,13.23666934,0.259622667,2,252.2609609,0.257333333
173,Gonospermum fruticosum,Gonospermum fruticosum,2686.631429,56.73151332,22.46676667,0.152,0.656868,1.5,235.4548686,0.209666667
175,Greenovia aizoon,Aeonium aizoon,172.9846,79.77588756,7.684988,0.093064571,0.437905615,0.2,61.95853557,1.5132
178,Gymnocarpos decandrus,Gymnocarpos,36.721,104.3907664,19.56423333,0.018,0.768141333,0.4,138.1352985,1.542333333
180,Heberdenia excelsa,Heberdenia excelsa,1871.785,153.5074808,13.48842,48.3,0.623617,10,440.2451481,0.385
183,Helianthemum canariense,Helianthemum canariense,56.873,102.9545361,17.36973,0.225,0.631818,0.25,378.4266624,0.273666667
186,Heliotropium ramosissimum,Heliotropium ramosissimum,431.734,91.36258282,30.08000333,5.565210952,0.345179333,0.3,200.3900545,0.352
187,Herniaria canariensis,Herniaria canariensis,4.5385,77.11799053,20.02096,9.277807982,0.72533,0.7885,333.3333333,0.321
189,Hyparrhenia hirta,Hyparrhenia hirta,154.133,142.7338727,13.630925,0.342,0.575865218,0.9,309.8591549,0.198
190,Hypericum canariense,Hypericum canariense,375.9216667,57.19276622,20.31695333,0.08,0.471335333,4,406.5521889,0.08
191,Hypericum glandulosum,Hypericum glandulosum,430.9073333,45.12416436,20.9681,0.024333333,0.557606333,2,286.4766598,0.093666667
193,Hypericum reflexum,Hypericum reflexum,216.724,89.72087386,14.30832333,0.0225,0.5441545,1.5,353.6416421,0.186666667
195,Ilex canariensis,Ilex canariensis,2288.898,248.4457586,8.13622,179.685,0.644073,10,461.0810811,0.648
197,Isoplexis canariensis,Digitalis canariensis,2637.47,72.63905687,20.95603667,0.108,0.446551333,1.5,242.8591515,0.188
198,Ixanthus viscosus,Ixanthus viscosus,5092.558889,60.80767516,16.89202333,0.0205,0.306951,2,209.3104824,0.416
199,Jasminum odoratissimum,Chrysojasminum odoratissimum,1465.134333,144.6966296,16.87551,298.6,0.714931333,4,413.9497099,0.241
200,Juniperus cedrus,Juniperus cedrus,15.62066667,256.071017,8.83615,29.16857143,0.5253855,10,576.2976861,0.271666667
201,Juniperus turbinata,Juniperus turbinata,1.457,230.4565717,12.52705333,70.08,0.724368667,2,450.5745476,0.922
202,Justicia hyssopifolia,Justicia hyssopifolia,597.4583333,89.54599344,30.49351667,26.34,0.579852,1,202.4219014,0.378666667
204,Kickxia scoparia,Nanorrhinum scoparium,182.82875,28.49661227,10.33451,0.049,0.597645,0.7,511.1111111,0.276666667
205,Kleinia neriifolia,Kleinia neriifolia,2019.212333,83.86108313,22.16338333,1.62,0.285741,3,95.47596212,0.839666667
210,Launaea arborescens,Launaea arborescens,156.0956757,49.64903715,14.4784,0.362,0.481044,1.5,227.0124617,0.4715
211,Laurus novocanariensis,Laurus novocanariensis,2340.593889,140.776237,17.172505,587.98,0.535495,25,528.7267081,0.2195
213,Lavandula canariensis,Lavandula canariensis,678.1185,92.16678206,21.3239125,0.104,0.55370675,1.5,234.8980548,0.42575
220,Limonium pectinatum,Limonium pectinatum,202.9442857,48.45295331,22.88613,0.168181818,0.627631667,0.7,217.7210199,0.42775
223,Lobularia canariensis,Lobularia canariensis,28.82033333,76.33499497,30.900376,0.466,0.69944575,0.25,260.8166608,0.160333333
228,Lotus campylocladus,Lotus campylocladus,62.37,72.52952809,29.714535,1.216,0.48943,0.3,287.7101386,0.111333333
233,Lotus sessilifolius,Lotus sessilifolius,36.16142857,59.45561569,24.1210675,0.996,0.60303125,1.3032,221.3233427,0.3735
236,Lycium intricatum,Lycium intricatum,40.145,69.74716652,17.95608333,1.776,0.601894,2,105.9454191,1.175666667
239,Maytenus canariensis,Gymnosporia cassinoides,2065.75275,139.5778528,13.829215,16.34,0.649413,5,391.335564,0.28775
246,Micromeria hyssopifolia,Micromeria ericifolia var. ericifolia,5.518,66.44919657,14.19136,7.360333383,0.705950333,0.4,392.8571429,0.194666667
247,Micromeria lachnophylla,Micromeria lachnophylla,6.378333333,78.39038411,14.33771,0.044,0.519330333,0.3,349.2063492,0.137666667
251,Micromeria varia,Micromeria ericifolia,8.6805,42.24027034,15.74456333,0.051,0.671116,0.4,352.8138528,0.121
261,Myrica faya,Myrica faya,713.817,128.8845741,14.81017,25.97428571,0.635392,10,416.2895928,0.205
264,Nepeta teydea,Nepeta teydea,774.023,52.97000218,31.08151,0.282,0.195337333,1,213.3208474,0.194
266,Olea cerasiformis,Olea europaea subsp. guanchica,360.777,199.569263,19.08737333,115.96,0.7774355,6,476.8849053,0.466333333
268,Ononis angustissima,Ononis angustissima,93.3312,53.57265309,25.52351333,3.022,0.670412,0.5,349.1054614,0.202
275,Parolinia intermedia,Parolinia intermedia,51.986,117.9804819,27.70239667,0.283,0.726246,1.3,224.3711362,0.614666667
277,Patellifolia patellaris,Patellifolia procumbens,1150.290526,76.06773941,21.23258,6.82,0.146984,1,108.7595397,0.973
279,Patellifolia webbiana,Patellifolia procumbens,446.5696667,83.60024453,20.24313,2.266863866,0.306009333,0.25,85.17724417,0.908
281,Pericallis appendiculata,Pericallis appendiculata,2820.583571,43.28300518,17.81091333,10.6,0.39597825,1,162.6938737,0.317666667
282,Pericallis cruenta,Pericallis cruenta,10214.57125,29.00268575,27.89209,0.19,0.159794,1,116.0781444,0.215666667
283,Pericallis echinata,Pericallis echinata,3767.668667,26.18772387,29.05106333,0.148,0.232581333,0.6,115.9901429,0.178
284,Pericallis lanata,Pericallis lanata,831.2923333,22.45499678,29.25762667,0.496,0.515523667,0.4,130.7383641,0.219333333
286,Pericallis tussilaginis,Pericallis tussilaginis,15738.77067,29.9049193,25.2002,0.223,0.202405,0.5,74.24185818,0.234333333
287,Periploca laevigata,Periploca laevigata,646.2225,85.36791379,10.757415,12.63428571,0.636629,2,236.1997452,0.4175
292,Phyllis nobla,Phyllis nobla,2936.7175,33.25708607,20.51410333,1,0.356893333,1,177.4958536,0.2495
294,Picconia excelsa,Picconia excelsa,4085.284,231.5628485,13.08552,270.41,0.710464,18,563.3187773,0.849
299,Pinus canariensis,Pinus canariensis,774.4557895,273.0949951,11.10948,114.01,0.626685,25,547.7044432,0.6195
300,Pistacia atlantica,Pistacia atlantica,6363.13,114.5138739,18.013075,47.98333333,0.473853333,10,462.3786354,0.161666667
302,Plantago arborescens,Plantago arborescens,47.323,49.30653875,20.99565,1.048,0.569052333,0.6,190.542328,0.247
304,Plantago webbii,Plantago webbii,29.628,103.7869583,12.2233425,2.952,0.5101255,0.3,323.7153518,0.568
306,Plocama pendula,Plocama pendula,60.30064516,239.544148,12.80906,7.8,0.424902,4,484.9586777,0.769666667
311,Polycarpaea divaricata,Polycarpaea divaricata,78.99473684,35.86736847,14.58093333,0.036,0.560687333,0.12,135.5119217,0.702287333
314,Polycarpaea nivea,Polycarpaea nivea,53.63344828,135.6926862,14.61065667,0.437,0.859171667,0.2,170.2314615,1.505333333
319,Prunus lusitanica,Prunus lusitanica,4794.705,223.9970968,13.50632,191.92,0.547907,10,473.9629303,0.598
321,Pterocephalus lasiospermus,Pterocephalus lasiospermus,529.9056667,91.84024578,17.58183333,2.035806104,0.401226333,0.1,173.7071569,0.213
323,Ranunculus cortusifolius,Ranunculus cortusifolius,40449.76273,32.27047978,25.1951975,0.607,0.145436,1,121.9965791,0.318666667
328,Rhamnus crenulata,Rhamnus crenulata,479.909,142.0409911,14.4899175,17.195,0.718644,3,438.4182582,0.26075
330,Rhamnus integrifolia,Rhamnus integrifolia,823.0856667,135.6683407,14.21969667,38.32248908,0.811966,1.2,448.8165055,0.231333333
332,Romulea columnae,Romulea columnae,628.1718182,136.6401636,19.43869667,1.749,0.264435333,0.45,244.2385228,0.553
333,Rubia fruticosa,Rubia fruticosa,213.331,63.02256431,14.40110667,9.024,0.509782,2,204.0174228,0.289333333
334,Rubia peregrina,Rubia peregrina,297.735,57.09775471,13.85153,26.778,0.408449,2.5,265.625,0.056
337,Rumex bucephalophorus,Rumex bucephalophorus,121.412,20.13255142,24.27085,0.944,0.108437667,0.4,87.77766196,0.2315
338,Rumex lunaria,Rumex lunaria,3462.2295,42.74702183,22.34815,0.6,0.300916,3,220.3540726,0.39
339,Rumex maderensis,Rumex maderensis,5477.482667,34.2614807,25.584675,0.446,0.229543333,1,125.2436979,0.335333333
343,Salsola divaricata,Salsola divaricata,49.368,173.3038946,12.52033667,7.219118051,0.536756,2.5,142.2309727,2.085333333
345,Salvia aegyptiaca,Salvia aegyptiaca,54.729,86.48674986,20.32867667,0.256,0.647865,0.2,250.5943051,0.312
351,Schizogyne sericea,Schizogyne sericea,81.295,143.510261,22.83480333,0.13,0.642099333,1.5,167.4161886,1.337
353,Scilla haemorrhoidalis,Scilla haemorrhoidalis,2856.562667,34.07358588,20.90828667,4.946,0.311707394,0.2,59.73007558,0.4985
356,Scrophularia glabrata,Scrophularia glabrata,636.21,67.58774618,19.92721,0.095,0.404028,1,280.8150183,0.245333333
359,Senecio palmensis,Bethencourtia palmensis,219.6193333,206.4177714,8.42916,9.51797981,0.490805,0.4,310.1285983,0.507666667
365,Sideritis cretica,Sideritis cretica,2758.53,55.46432339,15.64734333,1.625411651,0.559437,0.7,315.5626015,0.476
379,Silene nocteolens,Silene nocteolens,344.51,78.78726307,14.12932,0.818,0.49013124,0.5,141.7910448,0.544
380,Smilax aspera,Smilax aspera,4979.902,114.5270195,15.90853667,63.8,0.422150667,3.9715,346.9040998,0.25
383,Sonchus acaulis,Sonchus acaulis,53969.191,77.98894002,25.32743,0.873,0.353812956,1,87.61254716,0.441
385,Sonchus congestus,Sonchus congestus,10420.549,37.05418976,22.9232425,0.486,0.330598,1.5,112.4003358,0.305333333
387,Sonchus gummifer,Sonchus gummifer,15281.54269,41.58611554,22.89282,0.376,0.287958,0.6,157.8461,0.1606
392,Spartocytisus supranubius,Cytisus supranubius,321.4733333,891.2092242,17.12453,13.38,0.693091333,4,485.4232016,2.7785
400,Tamus edulis,Dioscorea communis,4169.605,22.06444016,35.55579,22.9,0.22115,4,125.8549932,0.168
401,Teline canariensis,Genista canariensis,29.215,74.81316675,27.133155,3.762,0.745341,3,383.1936385,0.116333333
406,Tetraena fontanesii,Zygophyllum fontanesii,84.26133333,319.6404836,12.16282667,10.72,0.690101333,0.6,109.0471192,4.16
415,Tolpis webbii,Tolpis webbii,1016.038667,54.45986964,24.71816,0.181,0.33694007,0.6,131.3999221,0.159
421,Viburnum rigidum,Viburnum rugosum,5852.734,127.6326585,12.66054,52.36285714,0.65714,7,421.7955957,0.327
426,Viola cheiranthifolia,Viola cheiranthifolia,157.118,114.5635764,14.7069,4.967085935,0.278798333,0.15,254.9044166,0.326666667
429,Visnea mocanera,Visnea mocanera,1208.397333,188.4038142,7.123943333,122.5821286,0.758722,10,512.9125763,0.321666667
434,Neochamaelea pulverulenta,Cneorum pulverulentum,117.7195,218.0324132,16.04930333,24.39120043,0.838494,1.5,278.8883059,0.926333333
